"ID","_id","text","count","str_id"
"[32853,20481513]",985187636695502848,"ta mt bom ser da minha familia essa semana: minha mae ta com dengue, minha irma com suspeita de chikungunya, minha prima internada com diabete, meu pai comecando a ter a enxaqueca que ate o faz desmaiar de tao forte e eu com ansiedade",36,"985187636695502848"
"[32853,20481514]",850106512311816194,"Sali al patio a hacer aprestamientos y me picaron tantos mosquitos que creo que tengo dengue",37,"850106512311816194"
"[32853,20481515]",699537995112849409,"""Entao ontem entrevista d Tchurma d Ministros sobre Dengue Min. JaquesPtistaWagner fala do OmiDasMilCaras? Elle e a Dengue do Momento?"" BD!",38,"699537995112849409"
"[32853,20481516]",991452666600542208,"O me voy a mandar alta gripe o me pico dengue ",39,"991452666600542208"
"[32853,20481517]",853376129994035200,"RT @nicolamlow: @MicrobesInfect If true, Aedes albopictus + #Zika = #scary",40,"853376129994035200"
"[32853,20481518]",700168268192030720,"Viste te dije que dejaras la puteria sis https://t.co/WPK1c01ru7",41,"700168268192030720"
"[32853,20481519]",993830350756433920,"@livianepomuceno Livia com todo respeito vc e linda, so nao entendi essa camisa do mosquito da dengue! ",42,"993830350756433920"
"[32853,20481520]",713123037516734464,"Virus da zika chegou ao Brasil na Copa das Confederacoes de 2013 aponta estudo: Embora tenha desvendado a traj... https://t.co/it4lbP8DuP",43,"713123037516734464"
"[32853,20481521]",852612085620015104,"que zika pqp",44,"852612085620015104"
"[32853,20481522]",717136944891695104,"@diariomarilia  (2) Qual e mais poderoso ?  O grande deus inexistente, que mora nas nuvens geladas, ou o pequeno mosquito Aedes Aegypti ?",45,"717136944891695104"
"[32853,20481523]",999833837042589697,"segundo minha irma estou com zika e pior q o sintomas batem",46,"999833837042589697"
"[32853,20481524]",838753946290294784,"Sou zika mesmo tipo virus, Meu rap infeccao A rima e tao pesada que e dificil a digestao...  https://t.co/7Tnv9fRCSs",47,"838753946290294784"
"[32853,20481525]",706656745955917824,"So de sacanagem vou encher a piscina pra dar dengue e eles ficarem doentes",48,"706656745955917824"
"[32853,20481526]",855773701261938688,"RT @Sabrina57979445: Tata: ""E pecado matar o mosquito da dengue?"" Padre: ""Prefiro nao deixar ele nascer!"" MUITO PADRE ESSE MITO! #LadyNight",49,"855773701261938688"
"[32853,20481527]",984427752311926785,"@UmLeoQualquerAi  - que tu e mt brabo - te acho o indizin mais top irmao, tu e zika - ja fiz",50,"984427752311926785"
"[32853,20481528]",703936682173800448,"RT @FlamenguFalando: ATE AEDES AEGYPTI TEM MAIS FOCO QUE WALLACE",51,"703936682173800448"
"[32853,20481529]",990722627001085953,"@Netwhineous mas nao mt zika?",52,"990722627001085953"
"[32853,20481530]",702308371521802240,"Hey 4nnak pode me seguir em @/wishph , eu sigo de volta la, e so pedir, obg  https://t.co/SNgtvNXwZr",53,"702308371521802240"
"[32853,20481531]",841721856612679680,"Numero de casos de zika, dengue e chikungunya caem em 2017 https://t.co/MUATpc4bcW",54,"841721856612679680"
"[32853,20481532]",703512434699440128,"Epidemia da sindrome: Zika pode nao causar microcefalia sozinho: Ministro da Saude diz que falta definir se ha... https://t.co/jnynpySAUo",55,"703512434699440128"
"[32853,20481533]",986074597052338178,"@Estadao @nytimes So sei de uma coisa: aqui em Recife parou de nascer criancas com microcefalia mas nao acabou o mosquito da dengue (falaram q era o responsavel) e nem fizeram muito coisa ( so nos primeiros dias e sumiram o pessoal da prefeitura). Estranho, muito estranho.",56,"986074597052338178"
"[32853,20481534]",846183476697141248,"eu so mt zika considero pakas kkkkkkkkk",57,"846183476697141248"
"[32853,20481535]",714739948042260482,"Ginecologista em Sete Lagoas, Gestantes e Adolescentes aconselhamentos sobre o virus ZICA - 3773-3299 - Fale c/ Ginecologista GI000340",58,"714739948042260482"
"[32853,20481536]",994626577483862016,"RT @GoiasDepressao: Essa faixa foi o inicio da Zika logo depois eles se esforcaram em fazer times piores que aquele https://t.co/q3469PPOhK",59,"994626577483862016"
"[32853,20481537]",712737720322236416,"Dilma anuncia recursos para combate ao Aedes aegypti - https://t.co/zs0F3veaKY https://t.co/5rliTQVs6G",60,"712737720322236416"
"[32853,20481538]",852538837909766144,"Me voy a morir de dengue o una pendejada asi.",61,"852538837909766144"
"[32853,20481539]",844183162209144832,"RT @JuntaElecPJCha: #zika #dengue Si tenes estos sintomas, NO te automediques y  consulta al medico. https://t.co/E0IUxLqnfy",62,"844183162209144832"
"[32853,20481540]",984085991144161282,"@Dogs_TT um mosquito da dengue",63,"984085991144161282"
"[32853,20481541]",983930607527964672,"Meu cc mais parado que agua com dengue",64,"983930607527964672"
"[32853,20481542]",711161527823376384,"O amor ta pegando mais que a dengue fii",65,"711161527823376384"
"[32853,20481543]",854118951495897088,"RT @rxnnyrey: oh novinha eu quero te ver com dengue",66,"854118951495897088"
"[32853,20481544]",703056224518975488,"Campanha contra o Zika vai render premio a estudantes em Rondonia: Iniciativa do Ifro premiara iniciativas art... https://t.co/pz3iZyp4vO",67,"703056224518975488"
"[32853,20481545]",847194575261388800,"eu queria pegar dengue",68,"847194575261388800"
"[32853,20481546]",700670269547876353,"RT @MollerSandayo: Alguem tinha alguma duvida q e so Marketing!! Cenario da mobilizacao contra 'Aedes' foi maquiado no DF https://t.co/mPU",69,"700670269547876353"
"[32853,20481547]",840234707342233600,"descobri q demolay tem 15% de desconto no santa kkkkkkkkk mo zika",70,"840234707342233600"
"[32853,20481548]",700891665050030080,"RT @a4038789: Quando o crush nao deixa agua parada p nao vir dengue -&gt; ",71,"700891665050030080"
"[32853,20481549]",856732195511316480,"Mas pra voces que ficam desejando meu mal, sinto muito! sai zika",72,"856732195511316480"
"[32853,20481550]",858363397225578496,"Saude confirma primeiro caso de chikungunya do ano em Fernandopolis https://t.co/ImFuxBxQwV https://t.co/8KhUI9qtFu",73,"858363397225578496"
"[32853,20481551]",845051210407301122,"Jajajaja.. Que atento https://t.co/AOP69VTlXk",74,"845051210407301122"
"[32853,20481552]",987128147949834240,"@LeoLucarevski @SaoPauloFC E muita Zika mano, nao e possivel ",75,"987128147949834240"
"[32853,20481553]",709419181456773121,"Zika: Matemos al mosquito y no a los bebes, exhorta Cardenal brasileo - via @aciprensa https://t.co/TT8QEwHYYB",76,"709419181456773121"
"[32853,20481554]",703237315716628481,"dicionario da minha familia: palpite = apetite  aerojipe = aedes aegypt  franca = meu nome, Francis  marril = cadarco  EU AMO MINHA FAMILIA",77,"703237315716628481"
"[32853,20481555]",849362350411063296,"E tome Dengue e derivados com o povo armazenando agua como pode. Pq estrutura q e bom ninguem tem e $$ pra fazer estrutura boa, ta dificil. https://t.co/V2GBMK2tJW",78,"849362350411063296"
"[32853,20481556]",703703131952193536,"Dia de Mobilizacao de Combate ao Aedes sensibiliza periferia da zona Norte: https://t.co/uLVOhyBVA7",79,"703703131952193536"
"[32853,20481557]",704139343892504576,"To passando mal demais, medo de ser dengue ou coisa do tipo",80,"704139343892504576"
"[32853,20481558]",701598047910895616,"@JIHOSQUAD de dengue, chovendo mt e tal",81,"701598047910895616"
"[32853,20481559]",996856878515793920,"Fui tomar vacina contra febre amarela e ouvi as pessoas no posto de saude dizendo : Esse mosquito Aedes aegypti, transmite tanta coisa ruim que daqui a pouco ta transmitindo o jogo do Vasco.   Essa foi a melhor do ano de 2018.",82,"996856878515793920"
"[32853,20481560]",990546483186421761,"@sportrecife Vai espalhar dengue pelo nordeste agr",83,"990546483186421761"
"[32853,20481561]",853002880818741248,"meu wpp ta tao parado que daqui a pouco cria dengue",84,"853002880818741248"
"[32853,20481562]",848056550744838148,"RT @portaluai: Casos de #dengue cairam em Belo Horizonte este ano, mas seguem acoes preventivas https://t.co/YsCucaZRMK https://t.co/Pgry7C",85,"848056550744838148"
"[32853,20481563]",997497861372829696,"RT @Colpo_Lucas: Fui tomar vacina contra febre amarela e ouvi as pessoas no posto de saude dizendo: -Esse mosquito Aedes aegypti, transmite",86,"997497861372829696"
"[32853,20481564]",982782735839322114,"teve surto de dengue nao peguei surto de conjutive nao peguei  gripe nunca nem vi  se nem os surtos eu to pegando imagine k pessoas k k k",87,"982782735839322114"
"[32853,20481565]",986378719110553600,"Parana registra primeira morte por dengue em dois anos https://t.co/QADLSEDpKz",88,"986378719110553600"
"[32853,20481566]",983149624256024576,"@gbfer_ vei eu tocom olheira do tamanho do mundo e passei mal quinta feira de dengue+estresse",89,"983149624256024576"
"[32853,20481567]",704474698470592512,"Ginecologista em Sete Lagoas, Gestantes e Adolescentes aconselhamentos sobre o virus ZICA - 3773-3299 - Fale c/ Ginecologista GI000369",90,"704474698470592512"
"[32853,20481568]",700366869958520832,"RT @LannesDelRey: Reparei apenas no pneu q pode dar dengue https://t.co/RizsU57INK",91,"700366869958520832"
"[32853,20481569]",846564076310401024,"Hamburguer da Brenda ja ta ate com dengue, come muito devagar nunca vi kkkkkkk",92,"846564076310401024"
"[32853,20481570]",847001156580757504,"Fiocruz da inicio as liberacoes de mosquitos Aedes aegypti com Wolbachia em Niteroi (RJ) https://t.co/K9GK96uncJ",93,"847001156580757504"
